OPEN,HIGH,LOW,PREV. CLOSE,CHNG,"VALUE
(₹ Lakhs)",52W H,52W L,TODAY,Column-13,Column-14,Column-15,Column-16,Column-17,Column-18,Column-19,Column-20,Column-21,Column-22,Column-23,Column-24,Sequence No.
"16,528.80","16,672.90","16,470.90","16,594.90",32.35,"5,04,344.83","18,604.45","14,151.40",,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,9.36,,-3.89,0
648.50,671.05,647.20,650.75,15.25,"15,127.73",776.50,403.50,,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,57.19,,-1.42,1
"1,315.00","1,339.90","1,315.00","1,308.70",21.90,"49,173.25","1,534.50",681.25,,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,80.63,,7.31,2
872.00,883.00,869.05,869.55,13.05,"3,387.29",902.85,562.10,,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,38.91,,-2.75,3
691.90,706.00,687.45,694.95,8.05,"19,672.04",866.90,626.65,,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-8.65,,-12.97,4
"15,400.00","15,659.00","15,280.00","15,467.45",138.15,"12,203.60","19,325.00","8,960.05",,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,54.81,,-3.26,5
"6,550.00","6,669.00","6,490.05","6,584.90",57.10,"19,606.44","8,050.00","4,362.00",,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,18.75,,-6.66,6
"3,893.00","3,925.00","3,873.00","3,892.50",32.15,"3,150.48","5,614.60","3,654.00",,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-13.51,,-9.94,7
595.00,603.00,594.45,593.80,4.85,"14,569.06",623.00,305.40,,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,74.47,,12.72,8
351.00,353.80,350.25,349.00,2.75,"3,675.28",503.00,331.10,,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-21.66,,-7.53,9
984.25,994.30,981.35,987.05,7.25,"9,372.47","1,005.00",738.10,,10-Mar-2021,10-Mar-2021,08-Feb-2022,08-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,21.50,,4.11,10
